Latitude,Longitude,Stop/Station Name
49.585793,6.099298,Cessange. Am Eck
49.605587,6.152558999999999,Hamm. Englebert Neveu
49.596886,6.147498000000001,Bonnevoie. Jeanne d'Arc
49.631584000000004,6.138058999999999,Weimerskirch. Tommys Bruch
49.617363,6.152469,Neudorf/Weimershof. Hierzekrëpp
49.59872,6.149484999999999,Bonnevoie. Anatole France
49.584740999999994,6.123632,Charles Darwin
49.599996000000004,6.150734,Bonnevoie. Baden-Powell
49.632114,6.138041,Dommeldange. Contournement
49.613865999999994,6.154069,Cents. Tawioun
49.583618,6.113681,Gasperich. Ruppert
49.584571000000004,6.123730999999999,Charles Darwin
49.583564,6.115335,Gasperich. Cloche d'Or
49.59107,6.14161,Bonnevoie. Lycée Technique de Bonnevoie/Quais
49.590494,6.1406480000000006,Bonnevoie. Neufchâteau
49.633013,6.136756,Dommeldange. Gare
49.623934000000006,6.149368,Kirchberg. Léon Hengen
49.585136999999996,6.128054,Gasperich. Francophonie
49.619143,6.072186,Strassen. Grande-Duchesse Charlotte
49.583384,6.117843,Gasperich. Jean Piret
49.633373,6.137017,Dommeldange. Gare
49.63367,6.136468,Dommeldange. Gare
49.607475,6.070047,Bertrange. Richterwee
49.633697,6.136585,Dommeldange. Gare
49.584022,6.1003050000000005,Cessange. Antoine
49.63367,6.136998999999999,Dommeldange. Gare
49.607079999999996,6.155265,Hamm. Colonie
49.633849,6.136792,Dommeldange. Gare
49.634046999999995,6.136405,Dommeldange. Gare
49.583420000000004,6.122508,Gasperich. Gerhard Mercator
49.634046999999995,6.136576,Dommeldange. Gare
49.634056,6.136756,Dommeldange. Gare
49.634038000000004,6.136864,Dommeldange. Gare
49.635153,6.134239,Dommeldange. Emile Metz
49.588175,6.138796,Howald. Rangwee
49.63438,6.136468,Dommeldange. Gare
49.612527,6.156209,Cents. Pommiers
49.634506,6.136405,Dommeldange. Gare
49.628446999999994,6.146761,Kirchberg. Kierch
49.634515,6.136476999999999,Dommeldange. Gare
49.610675,6.06869,Bertrange. Spatzwiss
49.595933,6.150195,Bonnevoie. Izegerknupp
49.592319,6.146230999999999,Bonnevoie. Jules Fischer
49.620536,6.153943,Weimershof. Bleuets
49.582638,6.121861,Gasperich. Hildegard von Bingen
49.581874,6.112223999999999,Gasperich. Guillaume Kroll
49.620455,6.0705860000000005,Strassen. Barblé
49.624716,6.1515699999999995,Kirchberg. Europe Gare routière
49.618981,6.069121,Strassen. Bechel
49.634685,6.138617,Dommeldange. Château
49.634415999999995,6.139462,Dommeldange. Sidney Thomas
49.593002,6.148873,Bonnevoie. Nic Martha
49.628213,6.14935,Kirchberg. Schmëdd
49.601344,6.069211,Helfent. Automobile Club
49.633517,6.1417,Weimerskirch. Biechelchen
49.622828999999996,6.1543660000000004,Kirchberg. Coque
49.618990000000004,6.156757,Neudorf. Fixmer
49.637966,6.132162,Beggen. Henri Heymanns
49.593596000000005,6.150905000000001,Bonnevoie. Kaltreis
49.62726,6.151624,Kirchberg. Antoine de St Exupéry
49.581946,6.097176,Cessange. Rue de Leudelange
49.585254,6.138895,Howald. 9 Mai 1944
49.616896000000004,6.158932,Cents. Jules Salentiny
49.580426,6.120719,Gasperich. Leonardo da Vinci
49.580139,6.117708,Gasperich. Émile Bian
49.637103,6.1371150000000005,Dommeldange. Uelzechtlycée
49.581441999999996,6.097112999999999,Cessange. Boy Konen
49.628492,6.151777,Kirchberg. Sichegronn
49.615296,6.159939,Cents. Kierch
49.635153,6.142302,Dommeldange. Barriär
49.579555,6.113132,Gasperich. Scharfen Eck
49.589182,6.14792,Howald. C.I.P.A.
49.583294,6.136558,Howald. Moureschanz
49.60992,6.063835,Bertrange. Montereale
49.586099,6.143741,Howald. Jhangeli
49.62113,6.066101000000001,Strassen. Kesseler
49.600733,6.065840000000001,Helfent. City Concorde
49.609138,6.161935,Hamm. Schoul
49.61837,6.160577,Cents. Arthur Knaff
49.614145,6.162016,Cents. Fetschebur
49.622577,6.158905,Weimershof. Pâquerettes
